Concept MoodTag1 MoodTag2 Semantic1 Semantic2 Semantic3 Semantic4 Semantic5
in-fighting joyful interesting athletic_game magic_trick celebration reel antic
fly-fishing joyful interesting athletic_game magic_trick celebration reel antic
party_game joyful interesting magic_trick celebration reel athletic_game antic
high-low joyful interesting parlor_game athletic_game embrace reordering embodiment
parlor_game interesting joyful athletic_game activity venture aid art
sporting_life joyful interesting magic_trick celebration reel athletic_game antic
crap joyful interesting parlor_game athletic_game magic_trick celebration reel
zero-sum_game joyful interesting parlor_game athletic_game embrace reordering embodiment
sexcapade joyful interesting magic_trick celebration reel athletic_game antic
spree joyful interesting spending_spree intemperance progress degradation change_of_shape
spending_spree joyful interesting spree intemperance progress degradation change_of_shape
dionysia joyful interesting carnival saturnalia celebration magic_trick reel
meshugaas joyful interesting magic_trick celebration reel athletic_game antic
saturnalia joyful interesting carnival dionysia celebration magic_trick reel
ludi_saeculares joyful interesting celebration magic_trick reel athletic_game antic
buck-and-wing joyful interesting step_dancing reel performing_arts philosophy magic_trick
tarantella joyful interesting reel performing_arts philosophy magic_trick celebration
samba joyful interesting reel performing_arts philosophy magic_trick celebration
highland_fling joyful interesting reel performing_arts philosophy magic_trick celebration
coloratura joyful interesting harmonization performing_arts reel philosophy magic_trick
method_acting joyful interesting performing_arts reel philosophy heroine samba
work interesting joyful activity venture aid art mortal_sin
financial_audit joyful interesting analytical_review review labor venture action
specialization joyful interesting degradation care dismissal humiliation orgasm
fatherhood joyful interesting learned_profession profession trade law embrace
bully_pulpit joyful interesting learned_profession profession trade law embrace
sainthood joyful interesting learned_profession profession trade law embrace
bricklaying joyful interesting masonry trade learned_profession profession law
cabinetwork joyful interesting trade learned_profession profession law masonry
oculism joyful interesting trade learned_profession profession law masonry
metier joyful interesting learned_profession profession trade law embrace
preventive_medicine joyful interesting herbal_medicine learned_profession law profession trade
herbal_medicine joyful interesting preventive_medicine learned_profession law profession trade
couture joyful interesting trade learned_profession profession law masonry
haymaking joyful interesting success hit advent passing feat
incline_bench_press joyful interesting press labor venture action investigation
marketing_research joyful interesting investigation labor venture action press
keratoscopy joyful interesting investigation fine-tooth_comb checkup collation going-over
volumetric_analysis joyful interesting spectroscopy radiocarbon_dating anatomy investigation test
spectroscopy joyful interesting radiocarbon_dating volumetric_analysis anatomy investigation labor
first_aid joyful interesting labor venture action press investigation
adrenergic_agonist_eyedrop joyful interesting miotic_eyedrop labor venture action press
miotic_eyedrop joyful interesting adrenergic_agonist_eyedrop labor venture action press
incubation joyful interesting labor venture action press investigation
electrotherapy joyful interesting reciprocal_inhibition behavior_therapy family_therapy hormone_replacement_therapy speech_therapy
hormone_replacement_therapy joyful interesting reciprocal_inhibition behavior_therapy family_therapy speech_therapy implosion_therapy
nursing_care joyful interesting labor venture action press investigation
tender_loving_care joyful interesting labor venture action press investigation
nurturance joyful interesting labor venture action press investigation
hemorrhoidectomy joyful interesting plastic_surgery uranoplasty lobotomy laminectomy enucleation
radial_keratotomy joyful interesting plastic_surgery hemorrhoidectomy uranoplasty lobotomy laminectomy
laminectomy joyful interesting plastic_surgery hemorrhoidectomy uranoplasty lobotomy enucleation
lobotomy joyful interesting plastic_surgery hemorrhoidectomy uranoplasty laminectomy enucleation
family_therapy joyful interesting reciprocal_inhibition behavior_therapy hormone_replacement_therapy speech_therapy implosion_therapy
speech_therapy joyful interesting reciprocal_inhibition behavior_therapy family_therapy hormone_replacement_therapy implosion_therapy
refrigeration joyful interesting reciprocal_inhibition behavior_therapy family_therapy hormone_replacement_therapy speech_therapy
naprapathy joyful interesting labor venture action press investigation
osteopathy joyful interesting labor venture action press investigation
infantilism joyful interesting appearance arrogance dishonesty evil mortal_sin
concurrent_negligence joyful interesting failure bull dereliction escape_mechanism breach_of_contract
intemperance interesting joyful change_of_state activity success dismissal reverence
prostitution interesting joyful mortal_sin evil arrogance pride lust
fibbing joyful interesting appearance arrogance dishonesty evil mortal_sin
actual_sin joyful interesting arrogance mortal_sin lust pride evil
inside_job joyful interesting arrogance evil mortal_sin prostitution lust
barratry joyful interesting fraud_in_law sting_operation constructive_fraud prostitution arrogance
constructive_fraud joyful interesting fraud_in_law sting_operation barratry prostitution arrogance
fraud_in_law joyful interesting sting_operation barratry constructive_fraud prostitution arrogance
labor_of_love joyful interesting venture enterprise labor action press
no-brainer joyful interesting venture enterprise labor action press
crapshoot joyful interesting venture enterprise labor action press
quality_control joyful interesting embrace reordering embodiment art appearance
hiring_freeze joyful interesting price_freeze wage_freeze freeze embrace reordering
price_freeze joyful interesting hiring_freeze wage_freeze freeze embrace reordering
wage_freeze joyful interesting hiring_freeze price_freeze freeze embrace reordering
inoculation joyful interesting great_care primping t'ai_chi patrol embrace
patrol joyful interesting inoculation great_care primping t'ai_chi embrace
t'ai_chi joyful interesting inoculation great_care primping patrol embrace
primping joyful interesting inoculation great_care t'ai_chi patrol embrace
suckling joyful interesting healthcare_delivery embrace reordering embodiment art
self-stimulation surprising admirable masturbation foreplay perversion pleasure feel
promiscuity surprising admirable foreplay perversion pleasure feel reaction
heterosexuality surprising admirable foreplay perversion pleasure feel reaction
geotropism surprising admirable meteortropism neurotropism reaction foreplay perversion
meteortropism surprising admirable geotropism neurotropism reaction foreplay perversion
neurotropism surprising admirable geotropism meteortropism reaction foreplay perversion
snivel surprising admirable foreplay perversion reaction pleasure feel
appraisal joyful interesting estimate marking evaluation moralism embrace
sensing interesting joyful look peek activity venture aid
eye-beaming joyful interesting look peek sensing embrace reordering
eyeful joyful interesting look peek sensing embrace reordering
industrial_arts joyful interesting education continuing_education embrace reordering embodiment
dress_rehearsal joyful interesting training discipline embrace reordering embodiment
dramatization joyful interesting puppetry embrace reordering embodiment art
placer_mining joyful interesting administration obedience disobedience issus legal_action
arts_and_crafts joyful interesting handicraft art reordering embodiment carving
gastronomy joyful interesting art reordering embodiment carving embrace
high_technology joyful interesting magnetic_levitation learned_profession profession law trade
magnetic_levitation joyful interesting high_technology learned_profession profession law trade
capitalization joyful interesting magnetic_levitation high_technology embrace reordering embodiment
close-quarter_fighting joyful interesting set-to administration obedience disobedience issus
biological_defense joyful interesting issus administration obedience disobedience legal_action
defloration joyful interesting progress degradation change_of_shape care wandering
tactical_intelligence joyful interesting friendly_fire hostile_fire embrace reordering embodiment
hostile_fire joyful interesting friendly_fire tactical_intelligence embrace reordering embodiment
radiocarbon_dating joyful interesting spectroscopy volumetric_analysis anatomy investigation labor
electromyography joyful interesting plastic_surgery embrace reordering embodiment art
intelligence_test joyful interesting test embrace reordering embodiment art
randomization joyful interesting embrace reordering embodiment art appearance
standing_operating_procedure joyful interesting lockstep plastic_surgery embrace reordering embodiment
lockstep joyful interesting standing_operating_procedure plastic_surgery embrace reordering embodiment
christening joyful interesting penance ceremony religious_ceremony embrace reordering
oblation interesting joyful activity intemperance venture aid change_of_state
high_mass joyful interesting ceremony religious_ceremony embrace reordering embodiment
bhakti joyful interesting embrace reordering embodiment art appearance
lordolatry joyful interesting embrace reordering embodiment art appearance
monolatry joyful interesting embrace reordering embodiment art appearance
tessellation joyful interesting embrace reordering embodiment art appearance
healthcare_delivery joyful interesting suckling embrace reordering embodiment art
teetotaling joyful interesting asceticism sobriety chastity embrace reordering
luxuriation joyful interesting embrace reordering embodiment art appearance
overindulgence joyful interesting intemperance progress degradation change_of_shape care
prophylaxis joyful interesting suspension embrace reordering administration embodiment
primary_health_care joyful interesting social_welfare gift acquisition purchase bargain
agribusiness joyful interesting administration obedience disobedience issus legal_action
world_affairs joyful interesting administration obedience disobedience issus legal_action
craft_fair joyful interesting bazaar day opportunity say room
rendering joyful interesting underpayment administration obedience disobedience issus
underpayment joyful interesting rendering administration obedience disobedience issus
auto_limitation joyful interesting administration obedience disobedience issus legal_action
moral_obligation joyful interesting obedience administration disobedience issus legal_action
noblesse_oblige joyful interesting obedience administration disobedience issus legal_action
legal_duty joyful interesting fiduciary_duty obedience administration disobedience issus
fiduciary_duty joyful interesting legal_duty obedience administration disobedience issus
great_care joyful interesting inoculation primping t'ai_chi patrol embrace
screwup joyful interesting administration obedience disobedience issus legal_action
polity joyful interesting administration obedience disobedience issus legal_action
placation joyful interesting administration obedience disobedience issus legal_action
ableism joyful interesting nepotism male_chauvinism ageism administration obedience
ageism joyful interesting nepotism ableism male_chauvinism administration obedience
nepotism joyful interesting ableism male_chauvinism ageism administration obedience
standardization joyful interesting conventionalization equilibration administration obedience disobedience
conventionalization joyful interesting equilibration standardization administration obedience disobedience
set-to joyful interesting close-quarter_fighting administration obedience disobedience issus
disobedience interesting joyful issus obedience legal_action activity administration
legal_action interesting joyful issus disobedience obedience activity administration
countersuit joyful interesting legal_action administration obedience disobedience issus
judgment_in_rem joyful interesting legal_action acquittal affirmation fatwa judgment_on_the_merits
judgment_on_the_merits joyful interesting legal_action judgment_in_rem acquittal affirmation fatwa
fatwa joyful interesting legal_action judgment_in_rem acquittal affirmation judgment_on_the_merits
general_verdict joyful interesting legal_action judgment_in_rem acquittal affirmation fatwa
acquittal joyful interesting legal_action judgment_in_rem affirmation fatwa judgment_on_the_merits
selflessness joyful interesting keeping devotion formality reenlistment honoring
reenlistment joyful interesting keeping devotion formality honoring selflessness
drumbeat joyful interesting insistence embrace mercy aid admiration
glorification joyful interesting admiration adoration embrace mercy aid
aspersion joyful interesting attack applause tip bon_mot affirmative
bitchery joyful interesting terrorization behavior indignity embrace reordering
terrorization joyful interesting bitchery behavior indignity embrace reordering
cupboard_love joyful interesting favor turn progress politeness deference
endearment joyful interesting favor turn progress politeness deference
beau_geste joyful interesting token signalization logical_proof vicious_circle pointing_out
prop joyful interesting politeness deference court courtesy attention
assignation joyful interesting administration obedience disobedience issus legal_action
absenteeism joyful interesting administration obedience disobedience issus legal_action
harmonization joyful interesting coloratura performing_arts reel philosophy magic_trick
galvanization joyful interesting inspiration titillation degradation care dismissal
emphasizing joyful interesting progress favor politeness deference reappearance
beatification joyful interesting progress favor politeness deference reappearance
equilibration joyful interesting conventionalization standardization administration obedience disobedience
ipsus joyful interesting issus administration obedience disobedience legal_action
issus interesting joyful disobedience obedience activity legal_action administration
marengo joyful interesting issus administration obedience disobedience legal_action
feeder surprising admirable hominid primate fetus entlebucher newfoundland
aerobe surprising admirable cannon_fodder ally brick poet worthy
intestinal_flora surprising admirable rhizopod bacteria spirochete chlamydia_psittaci chlamydia_trachomatis
virion surprising admirable j_particle antitauon gluon tauon shoot
junin_virus surprising admirable machupo_virus human_immunodeficiency_virus infectious_agent agent rhizopod
machupo_virus surprising admirable human_immunodeficiency_virus junin_virus infectious_agent agent rhizopod
human_immunodeficiency_virus surprising admirable machupo_virus junin_virus infectious_agent agent rhizopod
methanogen surprising admirable thermoacidophile rhizopod bacteria spirochete chlamydia_psittaci
thermoacidophile surprising admirable methanogen rhizopod bacteria spirochete chlamydia_psittaci
bacteria_species joyful interesting pseudomonas_pyocanea streptococcus_anhemolyticus fish_species gracula platyhelminthes
pseudomonas_pyocanea joyful interesting bacteria_species streptococcus_anhemolyticus fish_species gracula platyhelminthes
clostridium_perfringens surprising admirable high_explosive soman disrupting_explosive chemical_bomb bacteria
purple_bacteria surprising admirable bacteria rhizopod spirochete chlamydia_psittaci chlamydia_trachomatis
pseudomonodaceae joyful interesting lactobacillaceae treponemataceae streptomycetaceae rhinolophidae gelechiidae
nitrobacteriaceae joyful interesting genus_borrelia genus_mycobacterium genus_leptospira gracula cebuella
comma_bacillus surprising admirable bacteria rhizopod spirochete chlamydia_psittaci chlamydia_trachomatis
rickettsiales joyful interesting spirochaetales octopoda scorpionida anseres branchiura
tumor_virus surprising admirable infectious_agent agent rhizopod bacteria pathogen
chlamydia_psittaci surprising admirable chlamydia_trachomatis bacteria rhizopod spirochete comma_bacillus
streptomycetaceae joyful interesting pseudomonodaceae lactobacillaceae treponemataceae rhinolophidae gelechiidae
genus_mycobacterium joyful interesting genus_borrelia nitrobacteriaceae genus_leptospira gracula cebuella
penicillin-resistant_bacteria surprising admirable bacteria rhizopod spirochete chlamydia_psittaci chlamydia_trachomatis
order_myxobacteria joyful interesting spirochaetales octopoda scorpionida anseres branchiura
lactobacillaceae joyful interesting pseudomonodaceae treponemataceae streptomycetaceae rhinolophidae gelechiidae
streptococcus surprising admirable bacteria rhizopod spirochete chlamydia_psittaci chlamydia_trachomatis
streptococcus_anhemolyticus joyful interesting pseudomonas_pyocanea bacteria_species fish_species gracula platyhelminthes
spirochaetales joyful interesting octopoda scorpionida anseres branchiura osteoglossiformes
treponemataceae joyful interesting pseudomonodaceae lactobacillaceae streptomycetaceae rhinolophidae gelechiidae
genus_borrelia joyful interesting nitrobacteriaceae genus_mycobacterium genus_leptospira gracula cebuella
genus_leptospira joyful interesting genus_borrelia nitrobacteriaceae genus_mycobacterium gracula cebuella
protist surprising admirable rhizopod bacteria spirochete chlamydia_psittaci chlamydia_trachomatis
actinopod surprising admirable heliozoan rhizopod bacteria sporozoan coccidium
heliozoan surprising admirable actinopod rhizopod bacteria sporozoan coccidium
rhizopod surprising admirable bacteria child laban superior friend
euglenophyta joyful interesting gracula platyhelminthes polychaeta pseudomonas_pyocanea cebuella
euglenophyceae joyful interesting polychaeta tentaculata turbellaria copepoda acnidosporidia
euglenaceae joyful interesting volvocaceae rhinolophidae gelechiidae xylariaceae comatulidae
volvocaceae joyful interesting euglenaceae rhinolophidae gelechiidae xylariaceae comatulidae
pond_scum surprising admirable rhizopod bacteria sporozoan coccidium costia
hexamita joyful interesting gracula cebuella cnicus ceratophyllum burmannia
plantlike_flagellate surprising admirable rhizopod bacteria sporozoan coccidium costia
sporozoa joyful interesting polychaeta tentaculata turbellaria copepoda acnidosporidia
sporozoan surprising admirable coccidium rhizopod bacteria costia heliozoan
coccidium surprising admirable sporozoan rhizopod bacteria costia heliozoan
acnidosporidia joyful interesting polychaeta tentaculata turbellaria copepoda cestoda
hog_sucker surprising admirable atlantic_cod pacific_herring hominid primate fetus
zeomorphi joyful interesting spirochaetales octopoda scorpionida anseres branchiura
appendicularia surprising admirable hominid primate fetus ibis angwantibo
ascidian_tadpole surprising admirable corn_earworm hominid primate fetus hawkmoth
myxinidae joyful interesting squalidae haemulidae belonidae rhinolophidae gelechiidae
squalidae joyful interesting haemulidae myxinidae belonidae rhinolophidae gelechiidae
sawfish surprising admirable stingray butterfly_ray eagle_ray hominid primate
butterfly_ray surprising admirable stingray sawfish eagle_ray hominid primate
eagle_ray surprising admirable stingray butterfly_ray sawfish hominid primate
skylark surprising admirable hominid primate fetus black-fronted_bush_shrike spotted_antbird
ant_thrush surprising admirable spotted_antbird hominid primate fetus black-fronted_bush_shrike
spotted_antbird surprising admirable ant_thrush hominid primate fetus black-fronted_bush_shrike
gracula joyful interesting pluvialis gymnogyps phalaropus buteo pedionomus
rock_wren surprising admirable hominid primate fetus black-fronted_bush_shrike spotted_antbird
european_nuthatch surprising admirable hominid primate fetus black-fronted_bush_shrike spotted_antbird
fairy_bluebird surprising admirable hominid primate fetus black-fronted_bush_shrike spotted_antbird
black-fronted_bush_shrike surprising admirable hominid primate fetus spotted_antbird fairy_bluebird
buteo joyful interesting gracula pluvialis gymnogyps phalaropus pedionomus
gymnogyps joyful interesting gracula pluvialis phalaropus buteo pedionomus
screech_owl surprising admirable laughing_owl hoot_owl hominid primate fetus
hoot_owl surprising admirable screech_owl laughing_owl hominid primate fetus
laughing_owl surprising admirable screech_owl hoot_owl hominid primate fetus
web-toed_salamander surprising admirable yosemite_toad hominid primate fetus ibis
yosemite_toad surprising admirable web-toed_salamander hominid primate fetus ibis
labyrinthodontia joyful interesting spirochaetales octopoda scorpionida anseres branchiura
checkered_whiptail surprising admirable horned_chameleon hominid primate fetus nothosaur
lanthanotidae joyful interesting gavialidae crocodylidae rhinolophidae gelechiidae xylariaceae
horned_chameleon surprising admirable checkered_whiptail hominid primate fetus nothosaur
crocodylidae joyful interesting lanthanotidae gavialidae rhinolophidae gelechiidae xylariaceae
gavialidae joyful interesting lanthanotidae crocodylidae rhinolophidae gelechiidae xylariaceae
armored_dinosaur surprising admirable nothosaur dromaeosaur ankylosaur edmontonia hominid
ankylosaur surprising admirable nothosaur dromaeosaur edmontonia armored_dinosaur hominid
edmontonia surprising admirable nothosaur dromaeosaur ankylosaur armored_dinosaur hominid
dromaeosaur surprising admirable nothosaur ankylosaur edmontonia armored_dinosaur hominid
dicynodont surprising admirable hominid primate fetus horned_chameleon nothosaur
nothosaur surprising admirable dromaeosaur ankylosaur edmontonia armored_dinosaur hominid
phyllorhynchus joyful interesting bothrops sistrurus gracula cebuella cnicus
sistrurus joyful interesting bothrops phyllorhynchus gracula cebuella cnicus
bothrops joyful interesting phyllorhynchus sistrurus gracula cebuella cnicus
scorpionida joyful interesting spirochaetales octopoda anseres branchiura osteoglossiformes
sheep-tick surprising admirable ixodes_persulcatus hawkmoth holometabola flatworm taenia
ixodes_persulcatus surprising admirable sheep-tick hawkmoth holometabola flatworm taenia
dermacentor joyful interesting leptoglossus philophylla fenusa antheraea megachile
centipede surprising admirable hawkmoth holometabola flatworm taenia anglewing
prehensor surprising admirable hand skeletal_muscle spine horn socket
toxicognath surprising admirable hand skeletal_muscle spine horn socket
pentastomida joyful interesting platyhelminthes bryophyta pogonophora annelida sipuncula
red_grouse surprising admirable peacock hominid primate fetus piping_guan
piping_guan surprising admirable hominid primate fetus red_grouse peacock
peacock surprising admirable red_grouse hominid primate fetus piping_guan
rainbow_lorikeet surprising admirable lovebird hominid primate fetus ibis
ground_roller surprising admirable hominid primate fetus ibis common_brant_goose
archilochus_colubris surprising admirable hominid primate fetus ibis common_brant_goose
trogon surprising admirable hominid primate fetus ibis common_brant_goose
anseres joyful interesting spirochaetales octopoda scorpionida branchiura osteoglossiformes
common_brant_goose surprising admirable ibis phalarope european_bittern golden_plover wilson's_phalarope
dasyure surprising admirable pouched_mouse hominid primate fetus angwantibo
phascogale joyful interesting cebuella genetta kogia genus_cabassous bathyergus
pouched_mouse surprising admirable dasyure hominid primate fetus angwantibo
erinaceidae joyful interesting rhinolophidae phyllostomidae muroidea zapodidae bradypodidae
planula surprising admirable jellyfish mushroom_coral scyphozoan gorgonian coral
scyphozoan surprising admirable jellyfish mushroom_coral planula gorgonian coral
gorgonian surprising admirable jellyfish mushroom_coral planula scyphozoan coral
mushroom_coral surprising admirable jellyfish planula scyphozoan gorgonian coral
beroe surprising admirable hawkmoth holometabola flatworm taenia anglewing
tentaculata joyful interesting polychaeta turbellaria copepoda acnidosporidia cestoda
cydippida joyful interesting spirochaetales octopoda scorpionida anseres branchiura
platyhelminthes joyful interesting bryophyta pogonophora annelida sipuncula nemertea
turbellaria joyful interesting polychaeta tentaculata copepoda acnidosporidia cestoda
planarian surprising admirable flatworm taenia tapeworm fluke hawkmoth
trematoda joyful interesting polychaeta tentaculata turbellaria copepoda acnidosporidia
fluke surprising admirable flatworm taenia planarian tapeworm hawkmoth
genus_echinococcus joyful interesting gracula cebuella cnicus ceratophyllum burmannia
nemertea joyful interesting platyhelminthes bryophyta pogonophora annelida sipuncula
pogonophora joyful interesting platyhelminthes bryophyta annelida sipuncula nemertea
nematoda joyful interesting platyhelminthes bryophyta pogonophora annelida sipuncula
dracunculidae joyful interesting rhinolophidae gelechiidae xylariaceae comatulidae phalaropidae
annelida joyful interesting platyhelminthes bryophyta pogonophora sipuncula nemertea
hirudinea joyful interesting polychaeta tentaculata turbellaria copepoda acnidosporidia
edible_snail surprising admirable littleneck thin-shelled_mussel saddle_oyster blood_clam paper_nautilus
cypraea joyful interesting gracula cebuella cnicus ceratophyllum burmannia
cowrie surprising admirable edible_snail littleneck thin-shelled_mussel saddle_oyster blood_clam
bivalvia joyful interesting polychaeta tentaculata turbellaria copepoda acnidosporidia
myaceae joyful interesting spirochaetales octopoda scorpionida anseres branchiura
littleneck surprising admirable edible_snail thin-shelled_mussel saddle_oyster blood_clam paper_nautilus
anomiidae joyful interesting pectinidae sepiidae rhinolophidae gelechiidae xylariaceae
saddle_oyster surprising admirable edible_snail littleneck thin-shelled_mussel blood_clam paper_nautilus
blood_clam surprising admirable edible_snail littleneck thin-shelled_mussel saddle_oyster paper_nautilus
thin-shelled_mussel surprising admirable edible_snail littleneck saddle_oyster blood_clam paper_nautilus
pectinidae joyful interesting anomiidae sepiidae rhinolophidae gelechiidae xylariaceae
octopoda joyful interesting spirochaetales scorpionida anseres branchiura osteoglossiformes
sepiidae joyful interesting anomiidae pectinidae rhinolophidae gelechiidae xylariaceae
tropical_prawn surprising admirable fish_louse whale_louse tadpole_shrimp swimming_crab stomatopod
stomatopod surprising admirable fish_louse whale_louse tropical_prawn tadpole_shrimp swimming_crab
squilla surprising admirable fish_louse whale_louse tropical_prawn tadpole_shrimp swimming_crab
tadpole_shrimp surprising admirable fish_louse whale_louse tropical_prawn swimming_crab stomatopod
branchiura joyful interesting spirochaetales octopoda scorpionida anseres osteoglossiformes
fish_louse surprising admirable whale_louse tropical_prawn tadpole_shrimp swimming_crab stomatopod
plicatoperipatus_jamaicensis surprising admirable hawkmoth holometabola flatworm taenia anglewing
american_bittern surprising admirable european_bittern ibis common_brant_goose phalarope golden_plover
european_bittern surprising admirable american_bittern ibis common_brant_goose phalarope golden_plover
spotted_crake surprising admirable ibis common_brant_goose phalarope european_bittern golden_plover
ortygan surprising admirable ibis common_brant_goose phalarope european_bittern golden_plover
pedionomus joyful interesting gracula pluvialis gymnogyps phalaropus buteo
pluvialis joyful interesting gracula gymnogyps phalaropus buteo pedionomus
golden_plover surprising admirable ibis common_brant_goose phalarope european_bittern wilson's_phalarope
phalaropidae joyful interesting sterninae rhinolophidae gelechiidae xylariaceae comatulidae
phalaropus joyful interesting gracula pluvialis gymnogyps buteo pedionomus
wilson's_phalarope surprising admirable phalarope ibis common_brant_goose european_bittern golden_plover
sterninae joyful interesting phalaropidae rhinolophidae gelechiidae xylariaceae comatulidae
horned_puffin surprising admirable ibis common_brant_goose phalarope european_bittern golden_plover
kogia joyful interesting cebuella genetta genus_cabassous bathyergus onychomys
saluki surprising admirable vizsla entlebucher newfoundland great_pyrenees reynard
vizsla surprising admirable saluki entlebucher newfoundland great_pyrenees reynard
entlebucher surprising admirable newfoundland saluki great_pyrenees vizsla reynard
newfoundland surprising admirable entlebucher saluki great_pyrenees vizsla reynard
great_pyrenees surprising admirable entlebucher newfoundland saluki vizsla reynard
reynard surprising admirable vixen entlebucher newfoundland saluki great_pyrenees
mouser surprising admirable hominid primate fetus entlebucher newfoundland
bruin surprising admirable hominid primate fetus entlebucher newfoundland
genetta joyful interesting cebuella kogia genus_cabassous bathyergus onychomys
phyllostomidae joyful interesting rhinolophidae muroidea zapodidae bradypodidae erinaceidae
rhinolophidae joyful interesting phyllostomidae muroidea zapodidae bradypodidae erinaceidae
horseshoe_bat surprising admirable hominid primate fetus angwantibo potto
holometabola surprising admirable hawkmoth anglewing cuckoo-bumblebee italian_bee arctiid
chrysomelidae joyful interesting gelechiidae tineoidea gracilariidae phyllidae tortricidae
flea_beetle surprising admirable stag_beetle hawkmoth holometabola anglewing cuckoo-bumblebee
stag_beetle surprising admirable flea_beetle hawkmoth holometabola anglewing cuckoo-bumblebee
menopon joyful interesting leptoglossus philophylla fenusa dermacentor antheraea
chicken_louse surprising admirable hawkmoth holometabola anglewing cuckoo-bumblebee italian_bee
ctenocephalus joyful interesting leptoglossus philophylla fenusa dermacentor antheraea
sticktight surprising admirable hemiparasite parasite_yew hawkmoth holometabola anglewing
greenbottle surprising admirable sheep_botfly gnat hawkmoth holometabola anglewing
